GameId,Blue_Kills,Blue_Assists,Blue_Deaths,Blue_Total_Level,Blue_Total_gold,Blue_first_blood,Blue_first_dragon,Blue_dragon_kills,Blue_first_riftherald,Blue_riftherald_kills,Blue_first_baron,Blue_baron_kills,Blue_first_tower,Blue_tower_destroyed,Blue_first_inhibitor,Blue_inhibitor_destroyed,Red_Kills,Red_Assists,Red_Deaths,Red_Total_Level,Red_Total_gold,Red_first_blood,Red_first_dragon,Red_dragon_kills,Red_first_riftherald,Red_riftherald_kills,Red_first_baron,Red_baron_kills,Red_first_tower,Red_tower_destroyed,Red_first_inhibitor,Red_inhibitor_destroyed,Win
KR_6540543277,12,10,22,48,29469,0,0,0,0,0,0,0,1,2,0,0,22,19,12,51,36247,1,1,2,1,1,0,0,0,3,0,0,0
KR_6540693365,49,77,31,77,64962,0,0,3,1,1,1,1,1,7,1,1,31,39,49,70,56988,1,1,1,0,0,0,0,0,3,0,0,1
KR_6541110235,28,39,14,66,47793,1,0,1,1,2,1,1,0,3,0,0,14,24,28,58,40906,0,1,2,0,0,0,0,1,1,0,0,1
KR_6532949290,13,20,43,50,32624,0,1,1,0,0,0,0,0,1,0,0,43,86,13,59,53818,1,0,1,1,2,0,0,1,10,1,1,0
KR_6539524768,33,53,38,73,62528,0,0,1,1,1,0,0,1,4,0,0,38,76,33,77,66386,1,1,4,0,1,1,1,0,7,1,2,0
KR_6540543178,50,80,54,88,88802,0,0,2,1,2,1,3,1,8,1,3,54,93,50,87,85800,1,1,3,0,0,0,0,0,9,0,2,0
KR_6525072588,25,36,35,66,46133,1,0,0,0,0,0,0,0,2,0,0,35,42,25,73,59871,0,1,3,1,2,1,1,1,10,1,2,0
KR_6531886234,9,7,2,48,32117,1,1,2,1,1,0,0,1,5,0,0,2,3,9,39,21389,0,0,0,0,0,0,0,0,0,0,0,1
KR_6533037417,50,134,29,72,51250,1,0,0,0,0,0,0,1,2,1,1,29,72,50,64,43864,0,0,0,0,0,0,0,0,0,0,0,1
KR_6536884743,16,18,21,66,49304,0,0,2,1,2,0,0,1,3,0,0,21,39,16,76,59012,1,1,2,0,0,1,2,0,10,1,2,0
KR_6516105702,21,41,27,72,54516,0,0,1,1,1,1,1,0,3,0,0,27,55,21,79,62838,1,1,3,0,0,0,1,1,7,1,1,0
KR_6531664407,12,19,37,58,41074,0,0,1,1,1,0,0,0,3,0,0,37,57,12,68,53279,1,1,2,0,1,1,1,1,8,1,1,0
KR_6536730832,19,32,31,65,50757,0,0,2,1,2,0,0,1,4,0,0,31,31,19,73,56550,1,1,2,0,0,1,1,0,7,1,1,0
KR_6520268953,26,32,11,64,47752,1,1,2,1,2,0,0,1,7,1,1,11,19,26,57,38374,0,0,0,0,0,0,0,0,2,0,0,1
KR_6539096987,5,6,12,48,25205,1,1,1,1,1,0,0,0,0,0,0,12,16,5,51,30903,0,0,1,0,0,0,0,1,2,0,0,0
KR_6526421853,66,115,77,90,81806,0,0,0,0,0,0,0,0,2,0,1,77,193,66,90,87748,1,0,0,0,0,0,0,1,4,1,2,0
KR_6486590707,28,53,30,84,66839,0,0,3,0,0,0,0,0,6,1,1,30,49,28,84,70569,1,1,2,1,2,1,2,1,5,0,0,1
KR_6527399557,32,61,22,77,65284,0,1,4,1,2,0,1,1,11,1,2,22,35,32,72,56367,1,0,0,0,0,1,1,0,4,0,0,1
KR_6513136581,40,109,59,76,56351,0,0,0,0,0,0,0,0,1,0,0,59,132,40,83,63872,1,0,0,0,0,0,0,1,4,1,1,0
KR_6529230041,29,40,11,60,46878,1,1,3,0,1,1,1,1,7,1,1,11,27,29,54,35497,0,0,0,1,1,0,0,0,2,0,0,1
KR_6534024207,25,41,28,66,49401,1,0,2,1,1,0,0,0,1,0,0,28,46,25,71,57383,0,1,1,0,1,1,1,1,8,1,1,0
KR_6532481956,0,0,0,5,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2581,0,0,0,0,0,0,0,0,0,0,0,0
KR_6541145832,38,63,55,87,64537,0,0,0,0,0,0,0,0,0,0,0,55,125,38,90,74054,1,0,0,0,0,0,0,1,4,1,1,0
KR_6533261496,12,18,2,49,31405,1,0,1,0,0,0,0,1,4,0,0,2,1,12,43,22445,0,1,1,1,1,0,0,0,0,0,0,1
KR_6535609581,27,34,36,63,49598,0,0,1,0,1,0,0,0,3,0,0,36,50,27,70,60528,1,1,2,1,1,1,1,1,11,1,3,0
KR_6532884114,20,22,17,63,44254,1,1,2,1,2,0,0,1,6,0,0,17,27,20,59,37284,0,0,0,0,0,0,0,0,0,0,0,1
KR_6531503115,36,51,41,79,64179,1,0,0,1,1,0,1,0,7,1,1,41,56,36,79,64907,0,1,4,0,1,1,1,1,7,0,0,1
KR_6534059604,20,16,5,50,34217,1,1,2,1,1,0,0,1,4,0,0,5,7,20,48,24933,0,0,0,0,0,0,0,0,1,0,0,1
KR_6541783691,50,124,51,89,67477,0,0,0,0,0,0,0,1,4,1,2,51,118,50,86,66138,1,0,0,0,0,0,0,0,1,0,0,1
KR_6534105066,26,35,24,67,48971,0,1,2,0,0,1,1,0,3,0,0,24,27,26,63,47605,1,0,1,1,2,0,0,1,5,0,0,1
KR_6530431622,24,38,23,61,44303,0,0,2,1,2,0,0,0,4,0,0,23,51,24,65,48995,1,1,1,0,0,0,0,1,8,1,2,0
KR_6511829915,35,53,27,79,64479,0,1,3,0,1,1,1,1,3,0,0,27,41,35,81,63447,1,0,2,1,1,0,1,0,7,1,1,0
KR_6531630099,47,124,34,83,64859,0,0,0,0,0,0,0,1,4,1,2,34,75,47,79,58886,1,0,0,0,0,0,0,0,0,0,0,1
KR_6539013053,57,156,40,74,56309,0,0,0,0,0,0,0,1,4,1,1,40,90,57,69,49758,1,0,0,0,0,0,0,0,0,0,0,1
KR_6533148283,21,35,13,66,49288,1,1,2,0,1,1,1,1,7,1,1,13,15,21,59,39552,0,0,0,1,1,0,0,0,2,0,0,1
KR_6538386456,51,113,44,89,70917,1,0,0,0,0,0,0,1,4,1,1,44,100,51,87,66878,0,0,0,0,0,0,0,0,2,0,1,1
KR_6541330965,73,167,46,88,69173,1,0,0,0,0,0,0,1,4,1,2,46,93,73,85,61652,0,0,0,0,0,0,0,0,0,0,0,1
KR_6536263419,32,54,14,70,53922,0,1,3,1,2,1,1,1,9,1,1,14,21,32,60,42489,1,0,0,0,0,0,0,0,3,0,0,1
KR_6540168348,4,3,15,46,24055,1,1,1,0,0,0,0,0,0,0,0,15,20,4,53,32852,0,0,1,1,1,0,0,1,3,0,0,0
KR_6538128075,8,10,19,57,34534,0,1,2,0,0,0,0,0,0,0,0,19,29,8,65,49271,1,0,1,1,2,1,1,1,9,1,1,0
KR_6541134669,65,167,64,90,113592,1,0,0,0,0,0,0,0,4,0,1,64,139,65,90,106707,0,0,0,0,0,0,0,1,3,1,2,1
KR_6539480058,36,47,38,80,67699,1,1,3,1,1,0,0,1,11,1,4,38,52,36,81,64472,0,0,1,0,0,1,1,0,3,0,0,1
KR_6540362288,21,31,9,58,42612,0,0,0,0,1,0,0,1,3,0,0,9,9,21,55,35822,1,1,2,1,1,0,0,0,2,0,0,1
KR_6540408670,8,8,17,43,23093,1,0,0,0,0,0,0,0,0,0,0,17,12,8,47,30515,0,1,2,1,1,0,0,1,2,0,0,0
KR_6511946116,5,8,19,48,24847,0,0,0,0,0,0,0,0,0,0,0,19,28,5,53,35123,1,1,2,1,1,0,0,1,4,0,0,0
KR_6543186986,46,144,36,84,66641,0,0,0,0,0,0,0,0,4,0,1,36,102,46,80,61074,1,0,0,0,0,0,0,1,3,1,1,1
KR_6540154689,40,59,26,73,61237,1,1,2,0,1,1,1,1,7,1,2,26,32,40,66,53724,0,0,1,1,1,0,0,0,2,0,0,1
KR_6541120950,20,28,7,49,31391,0,0,1,0,0,0,0,1,2,0,0,7,8,20,43,24614,1,1,1,1,1,0,0,0,0,0,0,1
KR_6542428225,31,46,40,73,60692,1,0,0,1,2,0,0,1,6,0,0,40,62,31,82,72684,0,1,3,0,0,1,2,0,11,1,3,0
KR_6524396313,45,60,41,87,79849,0,0,4,1,2,1,2,1,11,1,4,41,65,45,85,76096,1,1,2,0,0,0,1,0,5,0,0,1
KR_6517021750,33,48,21,85,72032,1,0,3,1,2,0,1,1,10,1,1,21,33,33,79,61849,0,1,2,0,0,1,1,0,1,0,0,1
KR_6539023445,33,48,31,80,65396,0,0,1,0,0,0,0,0,3,0,0,31,54,33,83,74575,1,1,3,1,1,1,2,1,11,1,3,0
KR_6535798390,32,33,13,73,58174,0,1,3,1,2,1,1,1,10,1,2,13,25,32,60,43266,1,0,0,0,0,0,0,0,3,0,0,1
KR_6538071925,21,25,27,65,48409,0,1,3,1,1,0,0,1,4,0,0,27,35,21,67,52680,1,0,0,0,1,0,0,0,7,1,1,0
KR_6530627451,31,80,14,63,44861,1,0,0,0,0,0,0,1,4,1,1,14,27,31,56,36909,0,0,0,0,0,0,0,0,0,0,0,1
KR_6540569085,22,17,13,50,34622,1,1,1,0,0,0,0,1,4,0,0,13,8,22,43,25692,0,0,0,1,1,0,0,0,0,0,0,1
KR_6538672657,13,18,28,67,46378,0,0,0,0,0,0,0,0,0,0,0,28,42,13,77,61228,1,1,4,1,2,1,1,1,10,1,2,0
KR_6541334872,41,55,39,86,75137,0,0,2,1,1,0,1,0,4,0,0,39,59,41,86,80870,1,1,3,0,1,1,1,1,9,1,1,0
KR_6529243074,3,4,10,41,20225,0,0,0,0,0,0,0,0,0,0,0,10,5,3,49,26679,1,1,2,1,1,0,0,1,1,0,0,0
KR_6532070043,18,20,34,58,39843,0,1,1,0,0,0,0,0,2,0,0,34,43,18,68,55077,1,0,2,1,2,1,1,1,11,1,3,0
KR_6539621873,36,47,19,62,52322,1,0,2,1,1,0,0,1,8,1,1,19,22,36,58,41873,0,1,1,0,0,0,0,0,1,0,0,1
KR_6532482875,31,41,20,83,72328,1,0,3,1,1,0,1,1,10,1,2,20,40,31,82,68400,0,1,2,0,0,1,1,0,6,0,0,1
KR_6528385428,27,29,12,52,36057,1,1,2,1,1,0,0,1,2,0,0,12,13,27,47,27854,0,0,0,0,0,0,0,0,0,0,0,1
KR_6538738787,49,76,36,83,72511,0,0,1,1,1,1,1,0,8,0,1,36,53,49,73,64044,1,1,2,0,0,0,0,1,8,1,1,1
KR_6536756636,24,41,30,63,46583,0,1,1,0,0,0,0,0,2,0,0,30,52,24,69,56248,1,0,2,1,2,1,1,1,9,1,1,0
KR_6536627528,44,82,39,85,70768,0,1,1,0,1,1,2,0,4,0,0,39,42,44,79,70521,1,0,3,1,1,0,0,1,11,1,3,0
KR_6527811783,7,18,25,67,45638,1,1,1,0,0,0,0,0,1,0,0,25,36,7,75,62919,0,0,3,1,2,1,2,1,11,1,3,0
KR_6531766277,29,54,12,77,64660,1,0,2,1,2,1,2,1,9,1,2,12,23,29,68,48375,0,1,2,0,0,0,0,0,0,0,0,1
KR_6537206619,74,171,61,90,86212,1,0,0,0,0,0,0,1,4,1,2,61,133,74,90,79095,0,0,0,0,0,0,0,0,1,0,0,1
KR_6540549021,49,130,58,87,68807,0,0,0,0,0,0,0,1,4,1,2,58,145,49,86,68193,1,0,0,0,0,0,0,0,0,0,0,1
KR_6542328129,48,118,50,83,64345,0,0,0,0,0,0,0,0,2,0,0,50,127,48,86,64687,1,0,0,0,0,0,0,1,4,1,1,0
KR_6535464657,41,36,46,81,68782,1,0,3,1,2,1,1,1,6,0,0,46,55,41,81,69677,0,1,2,0,0,0,0,0,11,1,3,0
KR_6540655705,9,11,18,47,26623,1,0,0,0,0,0,0,0,0,0,0,18,19,9,53,34903,0,1,2,1,1,0,0,1,3,0,0,0
KR_6539119901,24,35,11,51,38312,1,1,1,0,1,0,0,1,5,0,0,11,14,24,47,28879,0,0,1,1,1,0,0,0,0,0,0,1
KR_6541242927,51,148,38,90,72066,0,0,0,0,0,0,0,0,2,0,2,38,106,51,86,71597,1,0,0,0,0,0,0,1,4,1,2,1
KR_6516345139,29,62,18,75,58521,0,0,2,1,2,1,1,0,7,1,1,18,31,29,67,49041,1,1,2,0,0,0,0,1,3,0,0,1
KR_6543447680,30,53,41,74,62543,0,0,0,0,1,1,1,1,5,0,0,41,89,30,77,65582,1,1,4,1,1,0,1,0,6,1,1,0
KR_6541343629,34,79,35,73,53826,1,0,0,0,0,0,0,0,1,0,0,35,91,34,75,58463,0,0,0,0,0,0,0,1,4,1,1,0
KR_6515698672,33,48,12,58,48796,1,0,2,1,2,0,0,1,7,1,1,12,23,33,53,33713,0,1,1,0,0,0,0,0,0,0,0,1
KR_6526413590,14,9,10,54,33286,1,1,1,1,2,0,0,1,1,0,0,10,14,14,51,31309,0,0,1,0,0,0,0,0,2,0,0,1
KR_6534659534,40,93,32,68,48423,1,0,0,0,0,0,0,1,2,1,1,32,80,40,65,44762,0,0,0,0,0,0,0,0,0,0,0,1
KR_6531804212,54,106,68,90,82839,0,0,0,0,0,0,0,0,3,1,2,68,165,54,90,88096,1,0,0,0,0,0,0,1,4,0,2,0
KR_6540091624,42,66,25,77,64895,1,1,3,0,1,1,1,1,11,1,2,25,20,42,72,54343,0,0,0,1,1,0,0,0,3,0,0,1
KR_6540368410,24,27,39,65,46989,0,0,0,1,1,0,0,1,1,0,0,39,60,24,71,59204,1,1,3,0,1,1,1,0,8,1,1,0
KR_6528522023,32,48,19,80,67472,0,1,2,1,2,1,2,1,10,1,2,19,37,32,70,52474,1,0,2,0,0,0,0,0,2,0,0,1
KR_6531831120,51,118,70,85,68101,0,0,0,0,0,0,0,1,1,0,0,70,144,51,90,74749,1,0,0,0,0,0,0,0,4,1,2,0
KR_6536455539,4,6,19,47,24460,0,0,0,0,0,0,0,0,0,0,0,19,20,4,51,32936,1,1,1,1,1,0,0,1,2,0,0,0
KR_6540493505,35,70,28,79,66956,0,1,4,1,2,1,2,1,8,1,1,28,46,35,70,56408,1,0,1,0,0,0,0,0,3,0,0,1
KR_6502385412,7,10,15,45,24020,0,0,0,0,0,0,0,0,0,0,0,15,19,7,48,29492,1,1,2,1,1,0,0,1,1,0,0,0
KR_6542749617,37,80,25,87,76951,0,1,4,0,0,0,0,0,4,0,0,25,46,37,85,75258,1,0,1,1,2,1,3,1,11,1,5,0
KR_6542180164,39,55,17,67,55721,0,0,2,1,1,0,0,0,10,1,1,17,20,39,58,43686,1,1,1,0,1,0,0,1,4,0,0,1
KR_6535586590,34,67,52,80,71878,0,1,2,1,2,1,1,1,7,1,2,52,87,34,85,77850,1,0,3,0,0,0,1,0,7,0,1,0
KR_6532193906,6,4,20,45,24917,0,0,0,1,1,0,0,0,1,0,0,20,25,6,50,33025,1,1,1,0,0,0,0,1,2,0,0,0
KR_6538775618,26,34,28,64,50197,0,0,0,1,2,0,0,1,5,0,0,28,50,26,72,57367,1,1,3,0,0,1,1,0,8,1,2,0
KR_6542227091,35,98,40,72,52281,1,0,0,0,0,0,0,0,1,0,0,40,94,35,76,56845,0,0,0,0,0,0,0,1,4,1,1,0
KR_6523280136,19,23,4,51,34779,1,1,2,1,1,0,0,1,4,0,0,4,3,19,44,23009,0,0,0,0,0,0,0,0,0,0,0,1
KR_6511193499,20,31,22,65,46169,1,1,1,0,0,0,0,0,2,0,0,22,38,20,69,55855,0,0,2,1,2,1,1,1,11,1,3,0
KR_6527733394,15,17,5,47,29494,1,1,1,1,1,0,0,1,1,0,0,5,3,15,45,23138,0,0,0,0,0,0,0,0,0,0,0,1
KR_6521090855,48,62,32,70,58283,0,1,4,1,2,1,1,1,6,1,1,32,51,48,65,49404,1,0,0,0,0,0,0,0,1,0,0,1
KR_6541184726,27,68,14,65,47042,1,0,0,0,0,0,0,1,3,1,1,14,32,27,61,41613,0,0,0,0,0,0,0,0,0,0,0,1
KR_6540240384,9,18,27,51,30546,0,1,1,0,0,0,0,0,0,0,0,27,33,9,58,45015,1,0,1,1,2,0,0,1,6,0,0,0
KR_6536031180,18,35,30,70,54892,1,0,0,1,2,0,0,1,6,0,0,30,57,18,73,58949,0,1,4,0,0,1,1,0,9,1,2,0
KR_6529698929,18,21,38,65,46039,1,1,1,0,0,0,0,0,3,0,0,38,54,18,69,56106,0,0,2,1,2,1,1,1,7,1,1,0
KR_6535148115,35,41,16,71,54544,1,0,2,0,0,1,1,1,8,1,1,16,20,35,61,42651,0,1,1,1,1,0,0,0,1,0,0,1
KR_6533274968,20,28,2,50,32015,1,0,1,0,0,0,0,1,4,1,1,2,4,20,39,20551,0,1,1,1,1,0,0,0,0,0,0,1
KR_6527539888,9,8,24,44,23861,1,0,0,0,0,0,0,0,0,0,0,24,21,9,51,37600,0,1,1,1,1,0,0,1,5,0,0,0
KR_6535276039,23,26,12,48,36128,1,1,2,1,1,0,0,1,4,0,0,12,17,23,47,27786,0,0,0,0,0,0,0,0,0,0,0,1
KR_6538342907,34,54,32,77,64679,1,0,2,0,1,0,0,0,7,0,1,32,57,34,78,67730,0,1,3,1,1,1,2,1,7,1,1,0
KR_6522412021,8,11,28,57,34668,0,1,1,0,0,0,0,1,1,0,0,28,34,8,65,51044,1,0,2,1,2,0,0,0,9,1,1,0
KR_6533151303,13,18,29,56,38598,0,0,0,1,1,0,0,1,2,0,0,29,52,13,61,46067,1,1,3,0,1,0,0,0,7,1,1,0
KR_6538227892,15,22,26,65,49691,1,0,0,0,0,0,0,0,6,0,0,26,20,15,70,53247,0,1,3,1,2,1,1,1,9,1,1,0
KR_6538853166,61,126,58,90,84007,1,0,0,0,0,0,0,1,4,1,3,58,127,61,90,86778,0,0,0,0,0,0,0,0,4,0,1,0
KR_6529703444,65,180,65,90,74268,0,0,0,0,0,0,0,0,4,0,2,65,171,65,88,72497,1,0,0,0,0,0,0,1,2,1,1,1
KR_6540070678,38,85,14,67,55777,1,1,2,1,1,1,1,1,9,1,2,14,19,38,57,35860,0,0,0,0,0,0,0,0,0,0,0,1
KR_6540313693,35,46,39,81,62074,0,0,1,0,0,0,1,0,2,0,0,39,54,35,79,67606,1,1,4,1,2,1,1,1,11,1,3,0
KR_6527199929,38,106,29,68,50030,1,0,0,0,0,0,0,0,0,0,0,29,74,38,67,46885,0,0,0,0,0,0,0,1,1,0,0,1
KR_6520171455,7,9,22,54,32270,1,1,1,0,0,0,0,0,0,0,0,22,36,7,61,44866,0,0,2,1,2,0,0,1,7,1,1,0
KR_6534245328,12,16,20,52,32428,1,0,0,0,0,0,0,0,1,0,0,20,33,12,56,37824,0,1,1,1,2,0,0,1,1,0,0,0
KR_6519511728,13,29,23,66,43776,0,0,1,1,1,0,0,0,0,0,0,23,44,13,71,54263,1,1,2,0,0,1,1,1,6,1,1,0
KR_6529727580,19,11,37,65,45531,1,0,0,1,2,0,0,0,4,0,0,37,55,19,72,55818,0,1,3,0,0,1,1,1,9,1,1,0
KR_6541665250,26,50,25,72,55120,1,1,4,0,1,1,1,0,5,0,0,25,47,26,71,57328,0,0,0,1,1,0,0,1,9,1,1,0
KR_6510905290,37,58,7,55,43614,0,1,1,1,1,0,0,1,7,1,1,7,9,37,42,25776,1,0,0,0,0,0,0,0,0,0,0,1
KR_6539012730,17,13,22,51,33129,1,0,1,0,0,0,0,1,2,0,0,22,34,17,53,37193,0,1,1,1,2,0,0,0,3,0,0,0
KR_6541733420,46,49,33,84,71605,0,1,4,1,2,1,1,1,10,1,2,33,45,46,80,67230,1,0,0,0,0,0,1,0,6,0,1,1
KR_6531784893,45,51,50,83,76229,1,1,5,1,1,1,2,0,10,0,2,50,48,45,76,62526,0,0,0,0,0,0,0,1,5,1,1,1
KR_6515919608,32,47,35,85,77594,1,1,2,1,2,1,2,0,11,1,4,35,61,32,87,76262,0,0,4,0,0,0,0,1,5,0,1,1
KR_6535049158,6,4,23,41,22609,0,0,0,1,1,0,0,0,0,0,0,23,25,6,48,34443,1,1,1,0,0,0,0,1,3,0,0,0
KR_6536460835,20,51,29,74,59124,0,0,2,0,1,0,0,0,2,0,0,29,58,20,78,67896,1,1,3,1,1,1,1,1,9,1,1,0
KR_6537830115,35,41,14,56,41192,1,0,0,1,1,0,0,1,3,0,0,14,13,35,51,35439,0,1,1,0,0,0,0,0,3,0,0,1
KR_6538804319,47,115,65,81,61130,0,0,0,0,0,0,0,0,1,0,0,65,183,47,88,68537,1,0,0,0,0,0,0,1,4,1,2,0
KR_6538737975,13,21,31,66,45642,0,1,1,1,1,0,0,1,2,0,0,31,29,13,71,56782,1,0,2,0,1,1,1,0,10,1,2,0
KR_6535313114,19,31,7,59,40465,1,1,2,0,1,0,0,0,5,1,1,7,7,19,53,33669,0,0,0,1,1,0,0,1,2,0,0,1
KR_6536474953,14,18,24,59,39379,1,1,1,0,0,0,0,0,1,0,0,24,41,14,67,53098,0,0,2,1,2,1,1,1,11,1,3,0
KR_6537463247,36,41,27,75,61904,1,1,3,0,1,1,1,0,11,1,3,27,43,36,69,51523,0,0,0,1,1,0,0,1,3,0,0,1
KR_6538999666,69,173,51,90,77607,0,0,0,0,0,0,0,1,4,1,2,51,107,69,87,71191,1,0,0,0,0,0,0,0,1,0,0,1
